Nama Hotel,Tipe Properti,Bintang Hotel,Rating,Lokasi,Harga Diskon,Harga Asli,Fasilitas,URL Gambar
Picasso inn,Hotel,3,"8.2 (3,4rb ulasan)","Fatmawati, Jakarta",Rp 375.102,Rp 500.135,Teras rooftop; Spa,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10001091-2bb333fcddd590e9ae175fcb25206180.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Yellow Bee Tanah Abang,Hotel,3,"8.4 (1,8rb ulasan)","Tanah Abang, Jakarta",Rp 313.818,Rp 418.423,Sangat disukai oleh Budget Traveler,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20017547-7e82ebeb225ddf29ad1357b74e3aadeb.png?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
The Loji Patra Kuningan,Guest House,0,8.2 (773 ulasan),"Menteng Dalam, Jakarta",Rp 285.740,Rp 380.986,,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/67726676-3000x2000-FIT_AND_TRIM-f1e539f907b1d025baedce944fea85de.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Fraser Residence Sudirman Jakarta,Hotel,5,8.7 (917 ulasan),"Sudirman, Jakarta",Rp 4.295.455,Rp 5.727.273,Basket; Area main anak; Penitipan anak; Pusat kebugaran; Bilyar,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10024851-1200x716-FIT_AND_TRIM-8c54098ec108d77c3fffe9bc116a48ca.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
LeGreen Suite Tondano,Hotel,2,"8.1 (1,5rb ulasan)","Bendungan Hilir, Jakarta",Rp 269.779,Rp 359.705,,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10002491-b8cafeaf202ef5d6e55ed1a17f009119.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
RedDoorz Plus @ Thamrin,Hotel,2,8.5 (222 ulasan),"Thamrin, Jakarta",Rp 239.558,Rp 319.410,,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/67855790-16974e6e3ded9814d0dcd83f197402fd.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Urbanest Inn House TB Simatupang,Homestay,3,8.3 (3rb ulasan),"Jati Padang, Jakarta",Rp 325.962,Rp 434.615,Pusat kebugaran; Teras rooftop,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10038623-049cec7f8d12e9dcdc304e19049f5a6d.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Urbanview Hotel Slipi Inn Palmerah,Hotel,2,8.7 (263 ulasan),"Palmerah, Jakarta",Rp 265.622,Rp 354.162,,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/20065161-15853f6b264d0f24e798ad9701a1eed8.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Bamboo Inn Hotel & Cafe,Hostel,2,"8.5 (2,3rb ulasan)","Kota Bambu, Jakarta",Rp 347.173,Rp 462.897,Layanan pijat,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10000049-3996x2667-FIT_AND_TRIM-7e0b0d896fc85e566c2e547ae5a82ec3.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Moritz BIZ Gandaria,Hotel,3,"8.4 (3,3rb ulasan)","Kebayoran Lama Utara, Jakarta",Rp 440.099,Rp 586.798,Restoran show cooking; Winery; Penitipan anak; Fasilitas bisnis; Bar,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/10009175-000e868dacfb54c1f81af69b541592a8.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Ahira Guest House Syariah,Guest House,0,"8.2 (1,1rb ulasan)","Thamrin, Jakarta",Rp 170.352,Rp 227.135,Great value in its class; Penyewaan sepeda,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20006374-deb214cf4ce59c2f4ddbd4c959c68124.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
LeGreen Suite Penjernihan,Hotel,2,"8.3 (1,9rb ulasan)","Bendungan Hilir, Jakarta",Rp 269.779,Rp 359.705,,N/A
Moritz Hotel RSAB Harapan Kita Slipi,Hotel,3,8.7 (373 ulasan),"Kota Bambu, Jakarta",Rp 522.129,Rp 696.171,Restoran show cooking; Aksesibel bagi penyandang disabilitas,N/A
Hotel Arwana,Hotel,2,"8.6 (2,5rb ulasan)","Mangga Besar, Jakarta",Rp 225.371,Rp 239.558,Layanan pijat; Spa,N/A
K-Style Eco Hotel Jakarta @Kemayoran,Hotel,2,7.9 (978 ulasan),"Gunung Sahari, Jakarta",Rp 181.818,Rp 242.423,Great value in its class; Fasilitas bisnis; Check-out ekspress,N/A
Apartemen Bassura City by Aparian,Apartemen,3,8.1 (770 ulasan),"Cipinang, Jakarta",Rp 260.049,Rp 346.731,Great value in its class,N/A
MP Hotel Kelapa Gading,Hotel,2,7.9 (971 ulasan),"Kelapa Gading Barat, Jakarta",Rp 348.075,Rp 464.099,Bar; Klub malam; Klub kesehatan; Bar,N/A
City Biz Residence,Hotel,1,"8.2 (2,8rb ulasan)","Mangga Besar, Jakarta",Rp 150.369,Rp 200.491,,N/A
D'Paragon Senopati,Hostel,0,9.0 (68 ulasan),"Rawa Barat, Jakarta",Rp 455.160,Rp 606.879,,N/A
Flamenco Urban Living,Hotel,0,8.7 (436 ulasan),"Petojo Selatan, Jakarta",Rp 226.444,Rp 301.925,,N/A
Titanium Express HomTel,Hotel,2,"8.3 (2,6rb ulasan)","Pekayon, Jakarta",Rp 232.105,Rp 309.473,Kursi berjemur tepi kolam; Check-out ekspress,N/A
Cove Art Living,Hotel,0,8.6 (60 ulasan),"Tebet, Jakarta",Rp 273.423,Rp 364.563,,N/A
Odua Thamrin Jakarta,Hotel,2,8.7 (728 ulasan),"Thamrin, Jakarta",Rp 368.550,Rp 491.399,Check-out ekspress,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/20015134-40bf289366b2e59b00ea36af6e514252.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Citi M Hotel Tanah Abang Gambir,Hotel,2,"8.5 (2,2rb ulasan)","Petojo Selatan, Jakarta",Rp 353.308,Rp 471.077,Tennis meja; Sewa mobil; Check-out ekspress,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10002379-4032x3024-FIT_AND_TRIM-c386f0a45240d102524e84cf0ef366ff.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Tendean Residences,Hotel,2,"8.5 (3,8rb ulasan)","Tendean, Jakarta",Rp 325.634,Rp 434.178,,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10034808-1872x1404-FIT_AND_TRIM-423e0672687520724a8cb98e4d8cb4a7.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Treehouse Suites at Kuningan - Boutique Serviced Apartment,Apartemen,0,"8.8 (1,2rb ulasan)","Rasuna Said, Jakarta",Rp 614.251,Rp 819.001,Dapur kecil,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20003423-6bcffe02de7e63695e8212a8b30d348b.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Sambina Prime,Hotel,3,9.0 (25 ulasan),"Pegadungan, Jakarta",Rp 305.785,Rp 407.713,Teras rooftop; Check-out ekspress; Bar,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/680037248-ba2291562806a01055d861c75b71f985.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
LYNT Hotel Jakarta,Hotel,3,"8.2 (2,4rb ulasan)","Petojo Utara, Jakarta",Rp 264.544,Rp 352.725,,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/20077027-b2674e505d52873147e8d06d1d0b9505.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Oakwood Premier Cozmo Jakarta,Apartemen,5,8.8 (681 ulasan),"Kuningan, Jakarta",Rp 2.395.569,Rp 3.194.091,Pengering pakaian; Area main anak; Dapur kecil; Bar,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10007951-305ba02461051fc54a6f8ec29ba75a8c.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
PIK GOLD COAST By All Property Residence,Apartemen,0,8.5 (98 ulasan),"Kamal Muara, Jakarta",Rp 743.801,Rp 991.734,Panahan; Tenda pantai; Aerobik; Bar pantai; Bilyar; Bar,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/680022157-b92f52c3cd261cd98cc63923f5de493b.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
GRAND KASIRA KEMANG RAYA ANTASARI,Hotel,3,"8.4 (4,3rb ulasan)","Kemang, Jakarta",Rp 287.371,Rp 383.161,Dapur kecil; Pusat kebugaran; Teras rooftop; Fasilitas bisnis; Check-out ekspress,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10026388-e6df44b56fe9dda4d15522de9748a20b.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Apartemen Green Pramuka City by Aparian,Apartemen,0,7.9 (697 ulasan),"Rawasari, Jakarta",Rp 260.049,Rp 346.731,Great value in its class; Layanan pijat; Spa,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20009759-d7330773c669c269d9b5d82ecba7dda0.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Alila SCBD Jakarta,Hotel,5,8.5 (255 ulasan),"Sudirman Central Business District, Jakarta",Rp 3.207.491,Rp 4.276.654,Handuk pantai; Pusat kebugaran; Teras rooftop; Payung pantai,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20012566-0207029a6100c551adbdfd6aba51054e.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
FIERIS IZZY,Hotel,2,9.2 (125 ulasan),"Rawamangun, Jakarta",Rp 351.351,Rp 468.467,,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/67872053-045797406dc074f7530ae9e2f9f990e0.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Collection O Gambir Near Masjid Istiqlal Formerly Aleander Hotel,Hotel,3,7.7 (253 ulasan),"Pasar Baru, Jakarta",Rp 162.014,Rp 216.018,Check-out ekspress,N/A
Somerset Kencana Jakarta,Apartemen,4,9.2 (24 ulasan),"Kebayoran Lama Selatan, Jakarta",Rp 1.040.541,Rp 1.387.387,Area main anak; Klub anak; Dapur kecil; Pusat kebugaran,N/A
"Cove W Suites, Tebet",Apartemen,0,8.5 (123 ulasan),"Tebet, Jakarta",Rp 273.001,Rp 364.001,Great value in its class,N/A
Urbanview Syariah Hotel Senen Jakarta,Hotel,3,9.1 (33 ulasan),"Bungur, Jakarta",Rp 191.455,Rp 255.273,Great value in its class,N/A
Batavia Hotel & Serviced Apartments Jakarta,Apartemen,4,"8.5 (2,5rb ulasan)","Karet Tengsin, Jakarta",Rp 890.219,Rp 1.186.958,Squash; Jacuzzi; Area main anak; Tennis; Pusat kebugaran; Bar,N/A
Tamarin Hotel Jakarta manage by Vib Hospitality Management,Hotel,4,"8.3 (1,7rb ulasan)","Gondangdia, Jakarta",Rp 427.309,Rp 569.745,Area main anak; Layanan pijat; Pusat kebugaran; Check-out ekspress; Spa,N/A
Asha Beach Club & Resort,Resor,0,8.5 (1 ulasan),"Kepulauan Seribu Selatan, Jakarta",Rp 2.621.488,Rp 3.495.317,Volley pantai; Kano; Transportasi ke pantai; Menyelam; Area main anak,N/A
Hotel 88 Kedoya Jakarta,Hotel,2,9.0 (62 ulasan),"Kedoya Selatan, Jakarta",Rp 286.650,Rp 382.199,,N/A
The Mango Suites by Flat06,Hotel,0,9.1 (213 ulasan),"Gandaria, Jakarta",Rp 408.681,Rp 544.907,Teras rooftop; Kursi berjemur tepi kolam,N/A
Urbanview Hotel Mitra near Grand Indonesia,Hotel,2,8.8 (42 ulasan),"Kebon Kacang, Jakarta",Rp 169.459,Rp 225.945,,N/A
The Dharmawangsa Jakarta,Hotel,5,9.0 (157 ulasan),"Dharmawangsa, Jakarta",Rp 2.967.553,Rp 3.956.737,Pusat kebugaran; Spa,N/A
Hotel Anders Arjuna Selatan,Hotel,0,8.2 (333 ulasan),"Kemanggisan, Jakarta",Rp 182.850,Rp 243.799,,N/A
Lima Residence Tebet Managed by EHM,Hotel,2,8.8 (404 ulasan),"Tebet, Jakarta",Rp 286.650,Rp 382.199,Check-out ekspress,N/A
Sans Hotel Kedoya,Hotel,0,8.8 (94 ulasan),"Kedoya Selatan, Jakarta",Rp 298.968,Rp 398.623,,N/A
The Day Residence,Hotel,3,9.1 (164 ulasan),"Karet Semanggi, Jakarta",Rp 583.538,Rp 778.050,Dapur kecil; Pusat kebugaran; Fasilitas bisnis,N/A
"The Gloria Suites Grogol, Jakarta",Hotel,3,"7.9 (4,7rb ulasan)","Grogol, Jakarta",Rp 449.792,Rp 599.722,Area main anak; Area berpayung; Teras rooftop,N/A
Dwijaya House Of Pakubuwono,Hotel,4,9.0 (521 ulasan),"Gandaria, Jakarta",Rp 1.151.474,Rp 1.535.298,Pengering pakaian; Dapur kecil; Teras rooftop; Fasilitas bisnis,N/A
Cove Bona Sort Pasar Baru,Hotel,0,8.3 (103 ulasan),"Pasar Baru, Jakarta",Rp 273.001,Rp 364.001,Great value in its class,N/A
Saffron Suites Syariah,Guest House,0,8.7 (287 ulasan),"Cilandak Timur, Jakarta",Rp 275.184,Rp 366.911,,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20043694-5e756cc36b7334e0cc20b038d347071e.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Cove T63,Homestay,0,8.2 (133 ulasan),"Tomang, Jakarta",Rp 147.420,Rp 196.559,Teras rooftop,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/67843576-c41886cafadd7de8b2e7a79230aee7ac.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Mercure Jakarta Batavia,Hotel,4,8.6 (476 ulasan),"Roa Malaka, Jakarta",Rp 1.053.842,Rp 1.405.122,,"https://ik.imagekit.io/tvlk/apr-asset/rvN7CENfvyT2YVqT-7R6UjRIibYDnsWI+-nAv8mJ7GI=/118087/photos/82027968_XL.jpg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Mangkuluhur Residences by Lorin,Hotel,5,9.1 (22 ulasan),"Karet Semanggi, Jakarta",Rp 1.307.238,Rp 1.742.983,Dapur kecil; Pusat kebugaran,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/680018535-d27fb7d19cdd355d19cc925e0940a29a.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Hotel Maxim Kwitang Jakarta,Hotel,3,7.5 (2rb ulasan),"Kwitang, Jakarta",Rp 165.996,Rp 221.327,Great value in its class; Limosin/mobil; Sewa mobil; Check-out ekspress,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10012402-4c5eb492b8b25e1987603c0512d1e6e6.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Gold Coast Sea View Apartments by Rentrooms,Apartemen,4,8.7 (115 ulasan),"Kamal Muara, Jakarta",Rp 630.631,Rp 840.841,Aktivitas outdoor; Area main anak; Dapur kecil; Pusat kebugaran,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/20070512-544b13075ea78b8c705ed8b04b496d56.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Cool Living,Hotel,0,"8.6 (1,2rb ulasan)","Kebon Kacang, Jakarta",Rp 361.179,Rp 481.571,Teras rooftop,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20044954-656c191dd4903f3d38ed1af505369e42.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
"Hotel The Ritz-Carlton Jakarta, Pacific Place",Hotel,5,9.0 (475 ulasan),"Sudirman Central Business District, Jakarta",Rp 4.550.000,Rp 6.066.666,Aerobik; Winery; Fasilitas bisnis; Aksesibel bagi penyandang disabilitas,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10023329-b51e3a939dc390616451d356f228780b.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
White Tree Residence,Hotel,3,"8.7 (1,4rb ulasan)","Fatmawati, Jakarta",Rp 508.600,Rp 678.133,Great value in its class; Pusat kebugaran; Teras rooftop,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10037225-2884x1931-FIT_AND_TRIM-b535a5a18ea5229e01b8dc36e437272a.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Urbanview Caverna Gandaria by RedDoorz,Hotel,2,8.1 (155 ulasan),"Kebayoran Lama Utara, Jakarta",Rp 269.071,Rp 358.761,,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/20065766-09e43557b04d0a1fb439da97e3853010.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Lamandau House,Hotel,0,9.0 (218 ulasan),"Gandaria, Jakarta",Rp 695.455,Rp 927.273,,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20051401-19b55e9c4943a9e9633a8fbda420ab39.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Cozzy Residence Muwardi Jakarta,Hostel,0,7.9 (641 ulasan),"Grogol, Jakarta",Rp 107.846,Rp 143.794,,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10035052-7985965a33c871c07f3de9229a8b9abf.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Olympic Hotel,Hotel,3,"8.3 (1,7rb ulasan)","Mangga Besar, Jakarta",Rp 267.813,Rp 357.083,Karaoke; Sewa mobil; Layanan pijat; Aksesibel bagi penyandang disabilitas,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/10001310-3c88858281787417caa8ea9936b5a94e.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Sawana Suites,Hotel,3,"8.3 (2,2rb ulasan)","Bendungan Hilir, Jakarta",Rp 468.101,Rp 624.134,Transportasi ke pusat perbelanjaan; Sewa mobil; Teras rooftop; Fasilitas bisnis,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10011122-1535x1279-FIT_AND_TRIM-0d5ae0b7ebbbed520a114ede7914c891.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
F Hotel Jakarta,Hotel,3,8.5 (3rb ulasan),"Panglima Polim, Jakarta",Rp 372.645,Rp 496.859,,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10003452-800x600-FIT_AND_TRIM-eadccc6e242a87944908daa3d89bf685.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Cozy Puri,Guest House,0,8.7 (280 ulasan),"Puri Kembangan, Jakarta",Rp 247.666,Rp 330.221,Great value in its class; Teras rooftop,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/67819641-4630081778766ef2536b5286d628f235.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
"Bobopod Kebayoran Baru, Jakarta",Hotel Kapsul,0,8.5 (916 ulasan),"Dharmawangsa, Jakarta",Rp 201.807,Rp 269.075,Check-out ekspress,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/20028564-080a451ede4780aeeea8cffac793b79d.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Apartemen Puri Mansion by Aparian,Apartemen,3,8.2 (422 ulasan),"Duri Kosambi, Jakarta",Rp 433.415,Rp 577.886,,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20019498-897bdc428799970476130beb2d72ba13.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
D'Paragon Matraman,Hostel,0,8.9 (539 ulasan),"Pal Meriam, Jakarta",Rp 381.245,Rp 508.326,,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/67859456-0254429b062c68f6c57430098f2c8e37.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Front One Residence Syariah Mampang,Hotel,1,8.7 (495 ulasan),"Mampang Prapatan, Jakarta",Rp 231.490,Rp 308.653,,N/A
NYENYAK MRT Lebak Bulus Simatupang,Hotel,0,8.3 (898 ulasan),"Lebak Bulus, Jakarta",Rp 262.080,Rp 349.439,Ruang santai; Teras rooftop,N/A
Sans Hotel Rumah Kita Daan Mogot by RedDoorz,Hotel,3,8.8 (146 ulasan),"Daan Mogot, Jakarta",Rp 226.909,Rp 302.545,,N/A
An Hotel Jakarta,Hotel,2,"7.8 (2,3rb ulasan)","Kuningan, Jakarta",Rp 223.078,Rp 297.437,Restoran show cooking; Jacuzzi; Limosin/mobil; Layanan pijat,N/A
SUPER OYO Flagship 101 Apple Platinum,Hotel,2,"8.4 (1,2rb ulasan)","Tanah Abang, Jakarta",Rp 354.761,Rp 473.014,,N/A
Delua Hotel Mangga Besar,Hotel,3,"8.3 (1,8rb ulasan)","Mangga Besar, Jakarta",Rp 364.455,Rp 485.939,Aksesibel bagi penyandang disabilitas,N/A
Amaris Hotel Mangga Besar,Hotel,2,"8.2 (1,8rb ulasan)","Mangga Besar, Jakarta",Rp 348.649,Rp 464.865,Aktivitas outdoor; Sewa mobil; Fasilitas bisnis; Aksesibel bagi penyandang disabilitas,N/A
"Bobopod Airport CBC, Tangerang",Hotel Kapsul,0,8.6 (731 ulasan),"Benda, Jakarta",Rp 200.461,Rp 267.281,Antar-jemput bandara; Check-out ekspress,N/A
N1 Hotel Tanah Abang,Hotel,3,"7.3 (3,7rb ulasan)","Petamburan, Jakarta",Rp 159.276,Rp 212.367,Check-out ekspress,N/A
Legacy Residence Cilandak Syariah,B&B,0,9.0 (90 ulasan),"Cilandak Barat, Jakarta",Rp 247.338,Rp 329.783,Aktivitas outdoor,N/A
