Nama Hotel,Tipe Properti,Bintang Hotel,Rating,Lokasi,Harga Diskon,Harga Asli,Fasilitas,URL Gambar
Homey and Modern 2BR Apartment with Space Room at Vittoria Residence By Travelio,Apartemen,3,N/A,"Rawa Buaya, Jakarta",Rp 523.836,Rp 698.447,Area main anak; Dapur kecil; Pusat kebugaran,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/680043361-d7837ac3df94a5faf09a25cf85d30e5e.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Spacious and Warm 2BR Apartment at Vittoria Residence By Travelio,Apartemen,3,N/A,"Rawa Buaya, Jakarta",Rp 523.836,Rp 698.447,Area main anak; Dapur kecil; Pusat kebugaran,N/A
One Park Avenue Luxury Residences,Homestay,3,N/A,"Kebayoran Lama Utara, Jakarta",Rp 1.517.932,Rp 2.023.909,,N/A
Staycation Jakarta - Kensington Royal Suites,Homestay,3,N/A,"Kelapa Gading Timur, Jakarta",Rp 1.334.299,Rp 1.779.065,,N/A
"EdMer Staycation Puri Mansion Apartment II (Puri Indah Mall, Cengkareng Airport)",Apartemen,3,N/A,"Duri Kosambi, Jakarta",Rp 390.825,Rp 521.099,Check-out ekspress,N/A
2 bedroom apartment near jiexpo with 6 bed & 2 bathroom,Apartemen,4,N/A,"Kemayoran, Jakarta",Rp 1.166.686,Rp 1.555.581,,"https://ik.imagekit.io/tvlk/apr-asset/oJLNzNs71wS3RVcWVniLgofXtaluprJ7ristt-jspoM=/images//0206012000drqn3gt2ED8_R5_Mtrip.jpg?_src=imagekit&tr=f-jpg,fo-auto,h-226,pr-true,q-80,w-300"
Spacious 2Br Apartment At Mt Haryono Square,Apartemen,2,N/A,"Kampung Melayu, Jakarta",Rp 699.495,Rp 932.659,,"https://ik.imagekit.io/tvlk/apr-asset/TzEv3ZUmG4-4Dz22hvmO9NUDzw1DGCIdWl4oPtKumOg=/lodging/103000000/102140000/102139900/102139862/de21da4e_z.jpg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Cozy And Simply Look 1Br Lavenue Pancoran Apartment,Apartemen,3,N/A,"Pancoran, Jakarta",Rp 876.161,Rp 1.168.214,,"https://ik.imagekit.io/tvlk/apr-asset/TzEv3ZUmG4-4Dz22hvmO9NUDzw1DGCIdWl4oPtKumOg=/lodging/109000000/108590000/108583300/108583283/5409a89f_z.jpg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Nice And Comfort 1Br At Citralake Suites Apartment,Apartemen,3,N/A,"Tegal Alur, Jakarta",Rp 965.629,Rp 1.287.505,,"https://ik.imagekit.io/tvlk/apr-asset/TzEv3ZUmG4-4Dz22hvmO9NUDzw1DGCIdWl4oPtKumOg=/lodging/103000000/102140000/102139500/102139476/5655ae82_z.jpg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Well Designed Studio Apartment Signature Park Grande,Apartemen,3,N/A,"Cawang, Jakarta",Rp 600.795,Rp 801.059,,"https://ik.imagekit.io/tvlk/apr-asset/TzEv3ZUmG4-4Dz22hvmO9NUDzw1DGCIdWl4oPtKumOg=/lodging/103000000/102140000/102140000/102139971/74d1104d_z.jpg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Great Deal And Cozy 1Br Apartment At Vittoria Residence,Apartemen,3,N/A,"Rawa Buaya, Jakarta",Rp 470.777,Rp 627.702,,"https://ik.imagekit.io/tvlk/apr-asset/TzEv3ZUmG4-4Dz22hvmO9NUDzw1DGCIdWl4oPtKumOg=/lodging/114000000/113240000/113231900/113231873/732f02aa_z.jpg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Great Choice And Restful 3Br Marina Ancol Apartment,Apartemen,3,N/A,"Ancol, Jakarta",Rp 972.784,Rp 1.297.045,,"https://ik.imagekit.io/tvlk/apr-asset/TzEv3ZUmG4-4Dz22hvmO9NUDzw1DGCIdWl4oPtKumOg=/lodging/106000000/105340000/105334600/105334539/w2897h1933x3y0-ca95cc0f_z.jpg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Simply Studio (No Kitchen) Apartment at 16th Floor West Vista,Apartemen,2,N/A,"Duri Kosambi, Jakarta",Rp 667.467,Rp 889.955,,"https://ik.imagekit.io/tvlk/apr-asset/TzEv3ZUmG4-4Dz22hvmO9NUDzw1DGCIdWl4oPtKumOg=/lodging/113000000/112060000/112056400/112056369/007c0fd7_z.jpg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Spacious and Warm Studio Apartment at Capitol Suites By Travelio,Apartemen,3,N/A,"Senen, Jakarta",Rp 786.777,Rp 1.049.035,Area main anak; Dapur kecil; Pusat kebugaran,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/680043294-567e445b7721674e8a0164f883a2097d.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Stylish 1Br At Gold Coast Apartment,Apartemen,3,N/A,"Kamal Muara, Jakarta",Rp 828.369,Rp 1.104.491,,N/A
Tranquil And Cozy 1Br Apartment At Thamrin Residence,Apartemen,2,N/A,"Thamrin, Jakarta",Rp 721.737,Rp 962.315,,N/A
Comfortable And Homey 2Br Green Pramuka City Apartment,Apartemen,3,N/A,"Rawasari, Jakarta",Rp 629.655,Rp 839.539,,N/A
Strategic MTH Square Apt 1BR w/ Pool & Gym,Apartemen,3,N/A,"Jatinegara, Jakarta",Rp 383.420,Rp 511.226,,"https://ik.imagekit.io/tvlk/apr-asset/oJLNzNs71wS3RVcWVniLgofXtaluprJ7ristt-jspoM=/images//1z60r12000hs3t0p4F4B4_R_1080_808_R5_Mtrip.jpg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Comfortable And Homey 2Br Apartment At Royal Olive Residence,Apartemen,3,N/A,"Pejaten Barat, Jakarta",Rp 965.528,Rp 1.287.370,,"https://ik.imagekit.io/tvlk/apr-asset/TzEv3ZUmG4-4Dz22hvmO9NUDzw1DGCIdWl4oPtKumOg=/lodging/98000000/97080000/97072400/97072304/0fb7bfa9_z.jpg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Nice And Elegant Studio At Vasaka Solterra Apartment,Apartemen,3,N/A,"Pejaten Barat, Jakarta",Rp 669.068,Rp 892.090,,"https://ik.imagekit.io/tvlk/apr-asset/TzEv3ZUmG4-4Dz22hvmO9NUDzw1DGCIdWl4oPtKumOg=/lodging/103000000/102140000/102139600/102139515/2ab08f7d_z.jpg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Modern And Elegant 2Br At Menteng Park Apartment,Apartemen,3,N/A,"Cikini, Jakarta",Rp 1.600.080,Rp 2.133.439,,"https://ik.imagekit.io/tvlk/apr-asset/TzEv3ZUmG4-4Dz22hvmO9NUDzw1DGCIdWl4oPtKumOg=/lodging/103000000/102140000/102139700/102139658/7a8fa531_z.jpg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Good Deal And Strategic 1Br L'Avenue Apartment,Apartemen,3,N/A,"Pancoran, Jakarta",Rp 1.023.032,Rp 1.364.042,,"https://ik.imagekit.io/tvlk/apr-asset/TzEv3ZUmG4-4Dz22hvmO9NUDzw1DGCIdWl4oPtKumOg=/lodging/98000000/97080000/97072500/97072435/66725e5f_z.jpg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Best Place And Spacious 3Br At Sudirman Tower Condominium Apartment,Apartemen,3,N/A,"Karet Semanggi, Jakarta",Rp 1.791.903,Rp 2.389.203,,"https://ik.imagekit.io/tvlk/apr-asset/TzEv3ZUmG4-4Dz22hvmO9NUDzw1DGCIdWl4oPtKumOg=/lodging/111000000/110900000/110897200/110897172/30067090_z.jpg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Sky Heaven Greenbay Apartment in North Jakarta,Homestay,0,N/A,"Pluit, Jakarta",Rp 934.049,Rp 1.245.398,Jacuzzi,"https://ik.imagekit.io/tvlk/apr-asset/oJLNzNs71wS3RVcWVniLgofXtaluprJ7ristt-jspoM=/images//1mc1s12000hc412ixC5BF_R_1080_808_R5_Mtrip.jpg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Best Studio (No Kitchen) At Grand Palace Kemayoran Apartment,Apartemen,3,N/A,"Kemayoran, Jakarta",Rp 418.635,Rp 558.179,,"https://ik.imagekit.io/tvlk/apr-asset/TzEv3ZUmG4-4Dz22hvmO9NUDzw1DGCIdWl4oPtKumOg=/lodging/109000000/108590000/108583100/108583087/dbf7199b_z.jpg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
ROOMS INC Sudirman – Jakarta,Hotel,3,N/A,"Karet, Jakarta",Rp 578.512,Rp 771.349,,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/680045109-48f170591ebc1177c768be213a3d8a65.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-226,pr-true,q-80,w-300"
Maple Park Apartment near JI Expo,Apartemen,3,N/A,"Tanjung Priok, Jakarta",Rp 733.723,Rp 978.297,,N/A
Capital O 94637 Teratai Residence,Homestay,3,N/A,"Tanjung Duren, Jakarta",Rp 182.075,Rp 242.766,Check-out ekspress,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/20089805-6eb632e6d480fa9bb509c75eef37e80e.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Minimalist Studio Room With City View At West Vista Apartment,Apartemen,3,N/A,"Duri Kosambi, Jakarta",Rp 601.371,Rp 801.827,Lapangan tenis,"https://ik.imagekit.io/tvlk/apr-asset/TzEv3ZUmG4-4Dz22hvmO9NUDzw1DGCIdWl4oPtKumOg=/lodging/72000000/71020000/71010500/71010446/51838c7b_z.jpg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Homey and Comfort Living Studio Room at Bassura City Apartment,Apartemen,3,N/A,"Cipinang, Jakarta",Rp 423.405,Rp 564.539,,N/A
Nice and Strategic 2BR at Bassura City Apartment,Apartemen,3,N/A,"Cipinang, Jakarta",Rp 611.939,Rp 815.918,,N/A
Comfort and Spacious Studio Room Bassura City Apartment,Apartemen,3,N/A,"Cipinang, Jakarta",Rp 434.460,Rp 579.279,,N/A
Best and Strategic Studio at Bassura Apartment,Apartemen,3,N/A,"Cipinang, Jakarta",Rp 724.100,Rp 965.466,,"https://ik.imagekit.io/tvlk/apr-asset/TzEv3ZUmG4-4Dz22hvmO9NUDzw1DGCIdWl4oPtKumOg=/lodging/75000000/74250000/74248800/74248733/913bf1fd_z.jpg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
